worker#,obj-id,open+read-data-time,wrkr-num-objs,mean-obj-time,num-dsets,mean-dset-time,pb-size,num-workers,obj-type,tot-num-obj,total-runtime
1,1160923014,0.6202121159999479,1,0.6202121159999479,124,0.005001710612902805,268435456,1,shots,500,0.6389360609999812
1,1160929030,0.2679185309999639,1,0.2679185309999639,61,0.004392107065573178,268435456,2,shots,500,0.38685683700009577
2,1160929030,0.36611783099999684,1,0.36611783099999684,60,0.006101963849999947,268435456,2,shots,500,0.38685683700009577
1,1160928002,0.396422791999953,1,0.396422791999953,32,0.012388212249998531,268435456,4,shots,500,0.479300516999956
2,1160928002,0.425817961000007,1,0.425817961000007,32,0.01330681128125022,268435456,4,shots,500,0.479300516999956
3,1160928002,0.4542606040000692,1,0.4542606040000692,33,0.013765472848486945,268435456,4,shots,500,0.479300516999956
4,1160928002,0.4395959949999906,1,0.4395959949999906,26,0.01690753826923041,268435456,4,shots,500,0.479300516999956
1,aeqdsk_aminor,31.374784567999995,63,0.49801245346031736,126,0.24900622673015868,268435456,8,signals,61,945.7499525930001
2,aeqdsk_aminor,31.749961208999935,63,0.5039676382380942,126,0.2519838191190471,268435456,8,signals,61,945.7499525930001
3,aeqdsk_aminor,30.819513418000042,63,0.48919862568254036,126,0.24459931284127018,268435456,8,signals,61,945.7499525930001
4,aeqdsk_aminor,32.351999002999946,63,0.5135237936984118,126,0.2567618968492059,268435456,8,signals,61,945.7499525930001
5,aeqdsk_aminor,32.317871099999934,63,0.5129820809523798,126,0.2564910404761899,268435456,8,signals,61,945.7499525930001
6,aeqdsk_aminor,31.446154011999965,63,0.4991453017777772,126,0.2495726508888886,268435456,8,signals,61,945.7499525930001
7,aeqdsk_aminor,27.51222896099989,63,0.43670204699999826,126,0.21835102349999913,268435456,8,signals,61,945.7499525930001
8,aeqdsk_aminor,16.762924036999948,59,0.28411735655932113,118,0.14205867827966057,268435456,8,signals,61,945.7499525930001
1,aeqdsk_area,17.247940090000043,63,0.2737768268253975,126,0.13688841341269875,268435456,8,signals,61,945.7499525930001
2,aeqdsk_area,16.40118398499999,63,0.26033625373015856,126,0.13016812686507928,268435456,8,signals,61,945.7499525930001
3,aeqdsk_area,17.721441128000038,63,0.2812927163174609,126,0.14064635815873044,268435456,8,signals,61,945.7499525930001
4,aeqdsk_area,16.50269847300001,63,0.26194759480952395,126,0.13097379740476198,268435456,8,signals,61,945.7499525930001
5,aeqdsk_area,16.24415792299999,63,0.2578437765555554,126,0.1289218882777777,268435456,8,signals,61,945.7499525930001
6,aeqdsk_area,15.562469338000028,63,0.24702332282539727,126,0.12351166141269863,268435456,8,signals,61,945.7499525930001
7,aeqdsk_area,17.110494905999985,63,0.271595157238095,126,0.1357975786190475,268435456,8,signals,61,945.7499525930001
8,aeqdsk_area,17.023046217,59,0.28852620706779664,118,0.14426310353389832,268435456,8,signals,61,945.7499525930001
1,aeqdsk_betan,16.753739403000054,63,0.2659323714761913,126,0.13296618573809565,268435456,8,signals,61,945.7499525930001
2,aeqdsk_betan,15.691751970000041,63,0.24907542809523875,126,0.12453771404761937,268435456,8,signals,61,945.7499525930001
3,aeqdsk_betan,15.009862505000001,63,0.2382517857936508,126,0.1191258928968254,268435456,8,signals,61,945.7499525930001
4,aeqdsk_betan,15.50677427700009,63,0.24613927423809667,126,0.12306963711904834,268435456,8,signals,61,945.7499525930001
5,aeqdsk_betan,15.840257819000044,63,0.2514326637936515,126,0.12571633189682574,268435456,8,signals,61,945.7499525930001
6,aeqdsk_betan,17.303544121000073,63,0.27465943049206465,126,0.13732971524603232,268435456,8,signals,61,945.7499525930001
7,aeqdsk_betan,15.347474076000026,63,0.24361069961904802,126,0.12180534980952401,268435456,8,signals,61,945.7499525930001
8,aeqdsk_betan,14.49863596800003,59,0.2457395926779666,118,0.1228697963389833,268435456,8,signals,61,945.7499525930001
1,aeqdsk_betap,15.353236781999954,63,0.24370217114285642,126,0.12185108557142821,268435456,8,signals,61,945.7499525930001
2,aeqdsk_betap,15.365911334999964,63,0.24390335452380896,126,0.12195167726190448,268435456,8,signals,61,945.7499525930001
3,aeqdsk_betap,15.169583181999997,63,0.24078703463492057,126,0.12039351731746029,268435456,8,signals,61,945.7499525930001
4,aeqdsk_betap,15.440239103999943,63,0.2450831603809515,126,0.12254158019047574,268435456,8,signals,61,945.7499525930001
5,aeqdsk_betap,15.337559819000035,63,0.243453330460318,126,0.121726665230159,268435456,8,signals,61,945.7499525930001
6,aeqdsk_betap,15.484599709999998,63,0.24578729698412694,126,0.12289364849206347,268435456,8,signals,61,945.7499525930001
7,aeqdsk_betap,15.681324096000026,63,0.2489099062857147,126,0.12445495314285734,268435456,8,signals,61,945.7499525930001
8,aeqdsk_betap,14.991550584000038,59,0.2540940776949159,118,0.12704703884745794,268435456,8,signals,61,945.7499525930001
1,aeqdsk_chisq,16.72680451100007,63,0.2655048335079376,126,0.1327524167539688,268435456,8,signals,61,945.7499525930001
2,aeqdsk_chisq,15.313091147000023,63,0.2430649388412702,126,0.1215324694206351,268435456,8,signals,61,945.7499525930001
3,aeqdsk_chisq,15.872889204999979,63,0.25195062230158694,126,0.12597531115079347,268435456,8,signals,61,945.7499525930001
